run_id,preset,rho_min,iteration,max_iter,compliance,grayness,used_surrogate,uncertainty,beta,change,penal,rmin,move,emin,cg_iters,solver_true_rel_residual,selected_rho_min,policy_trigger,policy_fallback_used,policy_attempted_rho_mins,policy_probe_r50,policy_probe_r100,policy_probe_true_rel_residual,vram_used_gb
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,16,40,1.9617362980114474,0.4193095707284314,False,0.0,4.0,0.09290876352365207,3.5,1.4,0.15,1e-12,28,5.991897410483634e-07,1e-12,probe_converged_keep,0,1e-12,5.991897292996176e-07,5.991897292996176e-07,5.991897410483634e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,17,40,102.30909347676855,0.187699083115094,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,87,9.525558774974711e-07,1e-12,probe_converged_keep,0,1e-12,0.006015765914028117,9.525556048722629e-07,9.525558774974711e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,18,40,4.389675344709606,0.2528859409471977,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,77,7.724370924740202e-07,1e-12,probe_converged_keep,0,1e-12,0.0007800924012669473,7.724370931876341e-07,7.724370924740202e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,19,40,3.012229764340891,0.28573041690870893,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,92,6.770820224018881e-07,1e-12,probe_converged_keep,0,1e-12,0.012240729883313437,6.77081908571855e-07,6.770820224018881e-07,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,20,40,2.56608695592026,0.23762325153215108,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,71,9.623394276395404e-07,0.001,high_r50,0,1e-12;1e-03,0.30133001156962264,0.005776619500172372,0.005776624383849298,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,21,40,2.3755642547222555,0.22313031948288922,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,87,9.5923844405328e-07,0.001,high_r50,0,1e-12;1e-03,0.8240660055328382,0.16704663214236817,0.16704663215270638,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,22,40,2.3175176430716475,0.1869191197336695,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,88,9.472681035727703e-07,0.001,high_r50,0,1e-12;1e-03,0.8626119864221794,0.20789528879655278,0.20789528879754346,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,23,40,2.241356627400484,0.1716143920705312,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,112,7.938562048917231e-07,0.001,high_r50,0,1e-12;1e-03,0.8977838431644749,0.6589504140985412,0.6589504140970927,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,24,40,2.2213079153089,0.14927382673993958,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,135,6.794483316691285e-07,0.001,high_r50,0,1e-12;1e-03,0.9736415698296127,0.7962827511376412,0.7962827511326185,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,25,40,2.175680263240258,0.14314320835288113,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,129,8.105130941410826e-07,0.001,high_r50,0,1e-12;1e-03,0.9788859077825913,0.7841520083258391,0.784152008325819,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,26,40,2.168635320746869,0.12939725464323987,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,158,9.5980109627905e-07,0.001,high_r50,0,1e-12;1e-03,0.9818397075846478,0.9140879646551446,0.9140879646551341,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,27,40,2.1385428123527146,0.1273093952199663,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,147,8.029670871741123e-07,0.001,high_r50,0,1e-12;1e-03,0.9842877439012608,0.8816651773128342,0.8816651773130708,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,28,40,2.1386792433557797,0.11785416019527394,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,181,7.913579634696651e-07,0.001,high_r50,0,1e-12;1e-03,0.9950162709473519,0.8901462784785654,0.8901462784784515,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,29,40,2.1120469705242004,0.11746941694208879,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,163,9.996036289435532e-07,0.001,high_r50,0,1e-12;1e-03,0.9932019079405766,0.8890759045711523,0.8890759045710518,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,30,40,2.113802280156832,0.10950132735729907,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,156,9.893626525343008e-07,0.001,high_r50,0,1e-12;1e-03,0.9949014593516261,0.8820277454084504,0.8820277454085943,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,31,40,2.0918857327769356,0.10934280702557014,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,170,9.932789515825203e-07,0.001,high_r50,0,1e-12;1e-03,0.9952282224565286,0.9071591414588976,0.9071591414589695,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,32,40,2.0942887409133384,0.10234407232564831,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,172,7.682601127399451e-07,0.001,high_r50,0,1e-12;1e-03,0.9973225768096262,0.9459289720819749,0.945928972082012,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,33,40,2.076795646233417,0.10233380817309978,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,179,7.863488441447795e-07,0.001,high_r50,0,1e-12;1e-03,0.9961158015698656,0.9783692009805872,0.9783692009805874,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,34,40,2.078413471530746,0.09610668187638434,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,181,8.041940514959846e-07,0.001,high_r50,0,1e-12;1e-03,0.9985567870641497,0.9797390247380597,0.9797390247380565,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,35,40,2.06502755767075,0.09630376014714068,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,190,9.87057674458981e-07,0.001,high_r50,0,1e-12;1e-03,0.9963414267283497,0.9812024999612211,0.9812024999612486,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,36,40,2.066379722752678,0.09128097414817317,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,207,7.684948073203437e-07,0.001,high_r50,0,1e-12;1e-03,0.9984558101490295,0.9815134926087646,0.9815134926087522,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,37,40,2.055603854450187,0.0915840432075661,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,200,7.881708207212089e-07,0.001,high_r50,0,1e-12;1e-03,0.9962150046216044,0.9779325135612851,0.9779325135612699,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,38,40,2.0566532494275975,0.08764699636955918,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,211,8.782992090396222e-07,0.001,high_r50,0,1e-12;1e-03,0.9978431211429198,0.9849103821040628,0.9849103821040579,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,39,40,2.047810834183764,0.0878996509957046,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,199,7.963369937752133e-07,0.001,high_r50,0,1e-12;1e-03,0.9958597459801874,0.9812582459177175,0.981258245917704,3.61865234375
bridge_gpu_medium_guarded_adaptive,bridge_gpu_medium,1e-12,40,40,2.048722182321524,0.08488194779130243,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,209,7.086949603156136e-07,0.001,high_r50,0,1e-12;1e-03,0.9973852977897505,0.983948597168653,0.9839485971686506,3.61865234375
