case_id,preset,seed,solid_probability,rho_min,reference_rho_min,penal,n_elem,solid_count,solid_fraction,sensitivity_convention,setup_time_s,solve_time_s,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,compliance,reference_compliance,rel_compliance_change,rel_dc_l2_all,rel_dc_l2_solid,rel_dc_l2_void,rel_dc_linf_all,rel_dc_linf_solid,pearson_dc_solid,history_len,source_dir
cantilever_gpu_medium_s53_q0.2,cantilever_gpu_medium,53,0.2,0.01,1e-12,4.5,64000,12683,0.198171875,floor_substituted_density_derivative,0.0208589000000074,5.336897399999998,1,1,45,7.907445293321605e-07,27.075228924591677,140.15386748009976,-0.8068178252131641,0.9066576645894968,0.9066576645893532,4.374357990081029e+27,0.958555735054127,0.958555735054127,0.5456316825448457,46,cantilever_s53
cantilever_gpu_medium_s53_q0.25,cantilever_gpu_medium,53,0.25,1e-12,1e-12,4.5,64000,15924,0.2488125,floor_substituted_density_derivative,0.0211638999999763,11.13662930000001,1,1,63,7.6066793779516e-07,39.31960020586615,39.31960020586615,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,64,cantilever_s53
cantilever_gpu_medium_s53_q0.25,cantilever_gpu_medium,53,0.25,0.001,1e-12,4.5,64000,15924,0.2488125,floor_substituted_density_derivative,0.0203103999999996,6.957183000000015,1,1,46,6.546781828176241e-07,33.081786172970375,39.31960020586615,-0.1586438824463212,0.1801520875698577,0.1801520875698577,3.456372265296864e+24,0.1300181204604399,0.1300181204604399,0.9919297522725896,47,cantilever_s53
cantilever_gpu_medium_s53_q0.25,cantilever_gpu_medium,53,0.25,0.01,1e-12,4.5,64000,15924,0.2488125,floor_substituted_density_derivative,0.020326300000022,4.7973875000000135,1,1,40,4.5982303649322374e-07,18.386451356932604,39.31960020586615,-0.5323845801924125,0.5109697087000323,0.510969708699021,2.4531657076434076e+27,0.3794190146158567,0.3794190146158567,0.9193384046657316,41,cantilever_s53
cantilever_gpu_medium_s53_q0.3,cantilever_gpu_medium,53,0.3,1e-12,1e-12,4.5,64000,19087,0.298234375,floor_substituted_density_derivative,0.0247621999999978,6.701873599999999,1,1,39,3.451975392875749e-07,17.135174673119682,17.135174673119682,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40,cantilever_s53
cantilever_gpu_medium_s53_q0.3,cantilever_gpu_medium,53,0.3,0.001,1e-12,4.5,64000,19087,0.298234375,floor_substituted_density_derivative,0.0236300999999912,5.001196499999992,1,1,34,5.37398002796776e-07,16.072361654441547,17.135174673119682,-0.0620252223250103,0.0730805330607657,0.0730805330607657,1.7144115304861276e+24,0.0619414079398511,0.0619414079398511,0.9986705459129396,35,cantilever_s53
cantilever_gpu_medium_s53_q0.3,cantilever_gpu_medium,53,0.3,0.01,1e-12,4.5,64000,19087,0.298234375,floor_substituted_density_derivative,0.020582499999989,4.080375599999996,1,1,34,2.388267879458246e-07,11.539440916142045,17.135174673119682,-0.3265641502771363,0.3398105503111894,0.3398105503102085,1.7526905000963502e+27,0.3060267667529656,0.3060267667529656,0.960687629510182,35,cantilever_s53
cantilever_gpu_medium_s53_q0.35,cantilever_gpu_medium,53,0.35,1e-12,1e-12,4.5,64000,22316,0.3486875,floor_substituted_density_derivative,0.0204432999999824,4.9936739000000046,1,1,29,4.158052895668988e-07,10.53115859462881,10.53115859462881,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,30,cantilever_s53
cantilever_gpu_medium_s53_q0.35,cantilever_gpu_medium,53,0.35,0.001,1e-12,4.5,64000,22316,0.3486875,floor_substituted_density_derivative,0.0203592999999955,4.186051800000001,1,1,28,1.95540806230189e-07,10.211495019723376,10.53115859462881,-0.0303540747234089,0.0386929274036711,0.0386929274036711,2.493222230175507e+23,0.0297245292879177,0.0297245292879177,0.9995988254661522,29,cantilever_s53
cantilever_gpu_medium_s53_q0.35,cantilever_gpu_medium,53,0.35,0.01,1e-12,4.5,64000,22316,0.3486875,floor_substituted_density_derivative,0.0206186999999999,3.580639899999994,1,1,30,3.1729058943051405e-07,8.408985027234813,10.53115859462881,-0.2015137791654154,0.2207157020710543,0.2207157020702226,3.5325648423038774e+26,0.1689160743212696,0.1689160743212696,0.9842865907346928,31,cantilever_s53
