preset,seed,solid_probability,rho_min,penal,lambda_min,lambda_max,kappa,kappa_times_eps,rel_residual,converged,n_free,eig_time_s
cantilever_3d,13,0.1,1e-12,4.5,5.525269660580345e-16,4.569864976706333,8270845148626353.0,1.8364965434228504,0.007812952692624305,0,6552,0.4859288999577984
cantilever_3d,13,0.1,1e-10,4.5,5.4008859270558015e-14,4.569864976966407,84613247505814.1,0.01878791511385238,8.019867797100314e-05,0,6552,0.5041328000370413
cantilever_3d,13,0.1,1e-08,4.5,5.397279370118317e-12,4.569865002974014,846697880468.2173,0.0001880046963594267,8.113871330709558e-07,1,6552,0.4810207000700757
cantilever_3d,13,0.1,1e-06,4.5,5.376277969629198e-10,4.569867603734338,8500058273.678737,1.8873920812187387e-06,7.740896722678617e-09,1,6552,0.5058148000389338
cantilever_3d,13,0.1,1e-05,4.5,5.201395794844054e-09,4.569891247082199,878589407.0226609,1.9508603777366426e-07,7.546081641284511e-10,1,6552,0.4930703000864014
cantilever_3d,13,0.1,0.0001,4.5,4.252800013726256e-08,4.570127687718448,107461617.59236248,2.386127242290092e-08,7.818272537543907e-11,1,6552,0.47078799991868436
cantilever_3d,13,0.1,0.001,4.5,3.015247016602108e-07,4.572492810254336,15164571.211174246,3.367211223442689e-09,8.792438173241521e-12,1,6552,0.45966449996922165
cantilever_3d,13,0.1,0.01,4.5,2.4971383273527664e-06,4.596216076895643,1840593.3009598725,4.0869381233929415e-10,1.200943869669991e-12,1,6552,0.46149580006022006
cantilever_3d,13,0.12,1e-12,4.5,9.094793992448553e-16,4.651461234020151,5114421764673592.0,1.1356297601569292,0.0045514037876712675,0,6552,0.5100574000971392
cantilever_3d,13,0.12,1e-10,4.5,9.140590825708022e-14,4.6514612342868356,50887971280855.77,0.01129939947849396,4.50701667458207e-05,0,6552,0.48395369993522763
cantilever_3d,13,0.12,1e-08,4.5,9.138230651239372e-12,4.651461260955273,509011146520.40643,0.00011302317893156087,5.511295594580202e-07,1,6552,0.48913360002916306
cantilever_3d,13,0.12,1e-06,4.5,9.068114770967457e-10,4.651463927800289,5129471831.005547,1.1389715461897035e-06,4.494350560770895e-09,1,6552,0.49577469995711
cantilever_3d,13,0.12,1e-05,4.5,8.515765866621542e-09,4.65148817191981,546220768.0170983,1.2128537463620377e-07,4.936135000823914e-10,1,6552,0.5055743999546394
cantilever_3d,13,0.12,0.0001,4.5,6.19457920518532e-08,4.6517306204512305,75093569.17347006,1.667412189953367e-08,6.004789117223523e-11,1,6552,0.49544369999784976
cantilever_3d,13,0.12,0.001,4.5,3.9431746929269274e-07,4.654155839777811,11803067.838019468,2.620807534996376e-09,6.537450254641944e-12,1,6552,0.4790964999701828
cantilever_3d,13,0.12,0.01,4.5,2.942196207418198e-06,4.678481840983089,1590132.5102612707,3.5308034501941214e-10,1.141101307626866e-12,1,6552,0.4662775000324473
cantilever_3d,13,0.15,1e-12,4.5,2.6527961448007163e-15,4.862755330279912,1833067851749766.5,0.40702282694255276,0.0020692710716381504,0,6552,0.49132899998221546
cantilever_3d,13,0.15,1e-10,4.5,2.668402172929421e-13,4.8627553305355615,18223472383089.613,0.004046423725665352,2.0183032898454553e-05,0,6552,0.48418729996774346
cantilever_3d,13,0.15,1e-08,4.5,2.667210716956546e-11,4.86275535610109,182316129925.0401,4.048231304066621e-05,2.260317176270994e-07,1,6552,0.4717753001023084
cantilever_3d,13,0.15,1e-06,4.5,2.5677997449601094e-09,4.862757912653997,1893744994.016089,4.2049585902505825e-07,2.1740353038410676e-09,1,6552,0.48994930007029325
