preset,seed,solid_probability,baseline_rho_min,raised_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,support_to_load_patch_components,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,severity_jump_triggered,severity_jump_r50_threshold,severity_jump_rho_min,post_solve_fallback_triggered,detector_false_keep,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s,source_dir,case_key
cantilever_gpu_medium,41,0.3,1e-12,0.001,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,19153,0.299265625,4142,448,0.0233905915522372,0,7.946806749492215e-07,7.946806749492215e-07,1.0,0.0290298000000461,7.143241899999964,3663.200256,991.028736,keep,0,0,0.5,0.01,0,0,1,1,34,7.946806744936386e-07,0.0283188000000222,6.550397300000043,3663.200256,991.028736,1958.92224,0.0,0.0,13.750987800000075,cantilever_s41,cantilever_gpu_medium|41|300000
cantilever_gpu_medium,41,0.35,1e-12,0.001,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,22287,0.348234375,2831,12731,0.5712298649436891,0,7.171676609391471e-07,7.171676609391471e-07,1.0,0.0199850000000196,4.872310099999993,3663.200256,991.028736,keep,0,0,0.5,0.01,0,0,1,1,27,7.171676609337684e-07,0.023517800000036,5.054064299999993,3663.200256,991.028736,1958.92224,0.0,0.0,9.969877200000042,cantilever_s41,cantilever_gpu_medium|41|350000
cantilever_gpu_medium,43,0.08,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,5113,0.079890625,3905,8,0.0015646391550948,0,0.0552151242412725,0.0230717541779157,0.4178520739553088,15.9710331,19.9773285,3285.712896,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,132,8.608750198652194e-07,0.0334701999999964,25.4948127,3575.119872,991.028736,1888.60416,0.0,0.0,61.47664449999999,cantilever_s43,cantilever_gpu_medium|43|80000
cantilever_gpu_medium,43,0.1,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,6422,0.10034375,4521,10,0.0015571473061351,0,0.1159741461574583,0.1158670041269461,0.9990761559014484,0.0399967999999972,21.8428646,3864.526848,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,125,9.73978703938601e-07,0.0285259999999993,23.685747000000006,3864.526848,991.028736,2177.98656,0.0,0.0,45.5971344,cantilever_s43,cantilever_gpu_medium|43|100000
cantilever_gpu_medium,43,0.12,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,7691,0.120171875,4974,14,0.0018203094526069,0,0.173686631909786,0.1577421965243131,0.9081999851678018,0.020780000000002,17.237101800000005,3864.526848,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,119,8.275956330801286e-07,0.02071269999999,18.889613300000008,3864.526848,991.028736,2177.98656,0.0,0.0,36.168207800000005,cantilever_s43,cantilever_gpu_medium|43|120000
cantilever_gpu_medium,43,0.15,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,9568,0.1495,5452,21,0.0021948160535117,0,0.1722225372379305,0.1721926447481356,0.9998264310218956,0.0236621999999897,18.972555900000003,3864.526848,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,104,7.761839027998414e-07,0.0208035999999935,16.83410029999999,3864.526848,991.028736,2177.98656,0.0,0.0,35.851121999999975,cantilever_s43,cantilever_gpu_medium|43|150000
cantilever_gpu_medium,43,0.18,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,11505,0.179765625,5664,27,0.0023468057366362,0,0.2130410084895082,0.2130368703504895,0.999980575856977,0.0203537999999809,17.397849800000017,3864.526848,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,80,8.665506188646594e-07,0.0208664999999825,11.791774099999998,3864.526848,991.028736,2177.98656,0.0,0.0,29.23084419999998,cantilever_s43,cantilever_gpu_medium|43|180000
cantilever_gpu_medium,43,0.2,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,12785,0.199765625,5648,50,0.0039108330074305,0,0.1904464446295214,0.1904231122390238,0.9998774858173748,0.0197006999999871,17.15062470000001,3864.526848,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,69,9.183492083360612e-07,0.0203525999999953,11.500507599999992,3864.526848,991.028736,2177.98656,0.0,0.0,28.691185599999983,cantilever_s43,cantilever_gpu_medium|43|200000
cantilever_gpu_medium,43,0.25,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,15949,0.249203125,5105,79,0.0049532886074362,0,0.0507785967807386,0.0029098998192589,0.0573056367001213,0.0200549000000194,18.70162289999999,3864.526848,991.028736,high_r50,1,0,0.5,0.01,0,0,1,1,47,9.573335453377344e-07,0.0279901000000108,8.369586000000027,3864.526848,991.028736,2177.98656,0.0,0.0,27.119253900000047,cantilever_s43,cantilever_gpu_medium|43|250000
cantilever_gpu_medium,43,0.3,1e-12,0.001,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,19072,0.298,4148,575,0.0301489093959731,0,5.27506000189735e-07,5.27506000189735e-07,1.0,0.0289379000000167,7.677815199999998,3864.526848,991.028736,keep,0,0,0.5,0.01,0,0,1,1,38,5.275060012803267e-07,0.0299099000000069,7.776420900000005,3864.526848,991.028736,2177.98656,0.0,0.0,15.513083900000026,cantilever_s43,cantilever_gpu_medium|43|300000
